Label_prediction,annotator1,annotator2
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,FALSE,FALSE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,FALSE,FALSE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,FALSE,FALSE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,FALSE,FALSE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,FALSE,FALSE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,FALSE,FALSE
Microdata Request,TRUE,FALSE
Microdata Request,FALSE,FALSE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,FALSE,FALSE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,TRUE,TRUE
Microdata Request,FALSE,FALSE
Microdata Request,FALSE,FALSE
Microdata Request,FALSE,FALSE
Microdata Request,TRUE,TRUE
Microdata Request,FALSE,FALSE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,FALSE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Microdata Variable Metadata and Access Inquiries,TRUE,TRUE
Multi-Sector Economic Statistics Data Requests,TRUE,TRUE
Multi-Sector Economic Statistics Data Requests,TRUE,TRUE
Multi-Sector Economic Statistics Data Requests,TRUE,TRUE
Multi-Sector Economic Statistics Data Requests,FALSE,FALSE
Multi-Sector Economic Statistics Data Requests,TRUE,TRUE
Multi-Sector Economic Statistics Data Requests,TRUE,TRUE
Multi-Sector Economic Statistics Data Requests,TRUE,TRUE
Multi-Sector Economic Statistics Data Requests,TRUE,TRUE
Multi-Sector Economic Statistics Data Requests,TRUE,TRUE
Multi-Sector Economic Statistics Data Requests,TRUE,TRUE
Multi-Sector Economic Statistics Data Requests,TRUE,TRUE
Multi-Sector Economic Statistics Data Requests,TRUE,TRUE
Multi-Sector Economic Statistics Data Requests,TRUE,TRUE
Multi-Sector Economic Statistics Data Requests,TRUE,TRUE
Multi-Sector Economic Statistics Data Requests,TRUE,TRUE
Multi-Sector Economic Statistics Data Requests,TRUE,TRUE
Multi-Sector Economic Statistics Data Requests,TRUE,TRUE
Multi-Sector Economic Statistics Data Requests,TRUE,TRUE
Multi-Sector Economic Statistics Data Requests,TRUE,TRUE
Multi-Sector Economic Statistics Data Requests,TRUE,TRUE
Multi-Sector Economic Statistics Data Requests,TRUE,TRUE
Multi-Sector Economic Statistics Data Requests,TRUE,TRUE
Multi-Sector Economic Statistics Data Requests,TRUE,TRUE
Multi-Sector Economic Statistics Data Requests,TRUE,TRUE
Multi-Sector Economic Statistics Data Requests,TRUE,TRUE
Multi-Sector Economic Statistics Data Requests,TRUE,TRUE
Multi-Sector Economic Statistics Data Requests,TRUE,TRUE
Multi-Sector Economic Statistics Data Requests,TRUE,TRUE
Multi-Sector Economic Statistics Data Requests,TRUE,TRUE
Multi-Sector Economic Statistics Data Requests,TRUE,TRUE
Multi-Sector Economic Statistics Data Requests,TRUE,TRUE
Multi-Sector Economic Statistics Data Requests,TRUE,TRUE
Multi-Sector Economic Statistics Data Requests,TRUE,TRUE
Multi-Sector Economic Statistics Data Requests,TRUE,TRUE
Multi-Sector Economic Statistics Data Requests,TRUE,TRUE
Multi-Sector Economic Statistics Data Requests,TRUE,TRUE
Multi-Sector Economic Statistics Data Requests,TRUE,TRUE
Multi-Sector Economic Statistics Data Requests,TRUE,FALSE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,FALSE,FALSE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,FALSE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
National Cross-Domain Statistical Data and Metadata Requests,TRUE,TRUE
"Official Statistics Data Availability, Access, and Methodology Inquiries",TRUE,TRUE
"Official Statistics Data Availability, Access, and Methodology Inquiries",TRUE,TRUE
"Official Statistics Data Availability, Access, and Methodology Inquiries",TRUE,TRUE
"Official Statistics Data Availability, Access, and Methodology Inquiries",TRUE,TRUE
"Official Statistics Data Availability, Access, and Methodology Inquiries",TRUE,TRUE
"Official Statistics Data Availability, Access, and Methodology Inquiries",TRUE,TRUE
"Official Statistics Data Availability, Access, and Methodology Inquiries",TRUE,TRUE
"Official Statistics Data Availability, Access, and Methodology Inquiries",TRUE,TRUE
"Official Statistics Data Availability, Access, and Methodology Inquiries",TRUE,TRUE
"Official Statistics Data Availability, Access, and Methodology Inquiries",TRUE,TRUE
"Official Statistics Data Availability, Access, and Methodology Inquiries",TRUE,TRUE
"Official Statistics Data Availability, Access, and Methodology Inquiries",TRUE,TRUE
"Official Statistics Data Availability, Access, and Methodology Inquiries",TRUE,TRUE
